,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,3_13,3_14,3_15,3_16,3_17,3_18,3_19,3_20,3_21,3_22,3_23,3_24,3_25,3_26,3_27,3_28,3_29
4_0,0.8992481203007519,0.024060150375939848,-0.31729323308270674,0.019548872180451125,-0.012030075187969924,-0.20601503759398496,0.09473684210526315,0.4947368421052631,-0.1533834586466165,0.28721804511278193,0.2270676691729323,0.18345864661654135,0.18796992481203004,-0.08872180451127819,0.09473684210526315,-0.22556390977443608,0.5368421052631579,-0.015037593984962403,0.12781954887218044,0.3789473684210526,-0.013533834586466165,0.024060150375939848,0.2300751879699248,0.018045112781954885,0.19999999999999998,-0.004511278195488721,-0.12030075187969923,0.022556390977443608,0.14586466165413534,0.21804511278195485
4_1,0.15488721804511277,0.9458646616541352,-0.07218045112781954,0.4992481203007519,0.016541353383458645,-0.5458646616541353,-0.10827067669172932,0.31127819548872177,-0.1518796992481203,0.09924812030075188,-0.024060150375939848,0.19999999999999998,0.11127819548872178,0.2706766917293233,0.4947368421052631,0.03909774436090225,-0.045112781954887216,-0.009022556390977442,0.23157894736842105,-0.07218045112781954,0.08120300751879699,0.26766917293233083,-0.08872180451127819,-0.09924812030075188,-0.04210526315789473,0.09473684210526315,-0.31127819548872177,0.04661654135338346,0.060150375939849614,-0.19999999999999998
4_2,-0.4481203007518797,0.28721804511278193,0.7909774436090224,0.3383458646616541,0.0,-0.04060150375939849,-0.09774436090225563,-0.1413533834586466,-0.003007518796992481,-0.07518796992481201,0.1639097744360902,-0.2781954887218045,0.1533834586466165,-0.006015037593984962,-0.3142857142857143,-0.21654135338345865,-0.33383458646616543,0.007518796992481202,0.2992481203007519,0.013533834586466165,0.21052631578947367,-0.003007518796992481,-0.26165413533834586,-0.09473684210526315,0.16842105263157892,0.2796992481203007,-0.12180451127819547,0.3203007518796992,-0.18045112781954886,0.06616541353383458
4_3,-0.010526315789473682,0.4796992481203006,-0.09924812030075188,0.7458646616541353,-0.556390977443609,0.26315789473684204,0.16240601503759397,0.025563909774436087,0.12932330827067667,0.10075187969924812,0.021052631578947364,0.20751879699248119,-0.32631578947368417,0.15789473684210525,-0.20150375939849624,-0.20150375939849624,-0.23308270676691725,-0.10676691729323308,-0.004511278195488721,0.04360902255639097,-0.5142857142857143,0.13834586466165413,-0.2601503759398496,0.27669172932330827,0.06917293233082707,0.10977443609022557,0.025563909774436087,-0.051127819548872175,-0.045112781954887216,-0.10526315789473684
4_4,0.19248120300751878,-0.1413533834586466,0.49022556390977434,0.38947368421052625,0.2571428571428572,-0.12932330827067667,0.3398496240601503,0.21954887218045113,0.5082706766917292,0.12481203007518797,-0.2571428571428572,0.06917293233082707,0.21654135338345865,-0.4120300751879699,-0.5233082706766917,0.010526315789473682,0.09924812030075188,-0.030075187969924807,0.5007518796992482,0.08721804511278194,-0.15789473684210525,-0.06917293233082707,-0.08421052631578946,-0.23759398496240602,0.38496240601503756,0.05413533834586466,0.03458646616541353,0.05563909774436089,-0.08872180451127819,0.38796992481203
4_5,-0.35939849624060144,0.3157894736842105,-0.22105263157894736,-0.1609022556390977,0.27368421052631575,-0.3804511278195489,-0.3954887218045112,-0.33082706766917286,0.09473684210526315,-0.23308270676691725,-0.03609022556390977,-0.0706766917293233,-0.12330827067669171,0.38646616541353385,0.45563909774436084,-0.004511278195488721,0.12932330827067667,0.30977443609022554,-0.4060150375939849,-0.22105263157894736,-0.012030075187969924,0.1413533834586466,-0.1413533834586466,-0.07368421052631578,-0.048120300751879695,-0.05714285714285714,-0.32631578947368417,-0.18045112781954886,-0.22255639097744356,0.04360902255639097
4_6,0.30977443609022554,-0.04661654135338346,-0.6375939849624059,-0.35037593984962395,-0.30977443609022554,0.09624060150375939,-0.20751879699248119,0.004511278195488721,-0.4060150375939849,0.5142857142857143,0.16842105263157892,0.4451127819548871,-0.12330827067669171,-0.022556390977443608,0.2421052631578947,0.13984962406015036,0.10075187969924812,0.4796992481203006,-0.24511278195488717,-0.09774436090225563,0.1969924812030075,-0.15488721804511277,0.33383458646616543,0.17142857142857143,-0.03458646616541353,0.09624060150375939,-0.2781954887218045,-0.11879699248120301,0.35639097744360904,0.10375939849624059
4_7,0.17593984962406017,0.14586466165413534,-0.04962406015037594,0.18045112781954886,0.1413533834586466,-0.10676691729323308,0.03458646616541353,0.27368421052631575,-0.24360902255639094,-0.5112781954887218,0.25864661654135335,-0.13684210526315788,-0.193984962406015,0.1518796992481203,0.28872180451127816,-0.3218045112781954,-0.30977443609022554,0.12932330827067667,0.1533834586466165,0.5157894736842105,0.07518796992481201,0.45714285714285713,-0.17293233082706763,-0.10676691729323308,-0.21052631578947367,-0.21954887218045113,0.02706766917293233,-0.0706766917293233,-0.16992481203007515,0.009022556390977442
4_8,-0.05563909774436089,0.05263157894736842,-0.02857142857142857,0.3609022556390977,0.06165413533834586,-0.28421052631578947,0.35488721804511275,0.09924812030075188,0.7218045112781954,-0.021052631578947364,-0.33684210526315783,0.11278195488721804,-0.17593984962406017,0.03909774436090225,-0.08120300751879699,-0.016541353383458645,0.09172932330827067,0.11127819548872178,-0.10676691729323308,-0.18646616541353384,-0.22406015037593985,0.23308270676691725,-0.15939849624060148,0.11729323308270674,0.037593984962406006,0.11729323308270674,0.12030075187969923,-0.1609022556390977,0.27518796992481204,0.17293233082706763
4_9,-0.08120300751879699,0.11879699248120301,-0.37293233082706767,0.06766917293233082,0.04210526315789473,0.21353383458646616,0.16691729323308271,-0.34285714285714286,0.22556390977443608,0.14736842105263157,-0.19999999999999998,0.48872180451127817,-0.3654135338345864,0.17142857142857143,0.13684210526315788,0.3443609022556391,-0.1518796992481203,0.3203007518796992,-0.09774436090225563,-0.5383458646616541,-0.03458646616541353,-0.16691729323308271,0.30977443609022554,0.06766917293233082,-0.08421052631578946,-0.29774436090225564,-0.07368421052631578,0.03308270676691729,0.12781954887218044,-0.31879699248120297
4_10,0.1639097744360902,0.15037593984962402,0.14887218045112782,-0.007518796992481202,0.16691729323308271,-0.6300751879699248,-0.2421052631578947,0.07518796992481201,0.26616541353383455,0.11578947368421053,0.2992481203007519,-0.3684210526315789,0.3203007518796992,0.4421052631578947,0.31879699248120297,-0.35939849624060144,0.47368421052631576,-0.10977443609022557,0.4766917293233082,0.2796992481203007,-0.0706766917293233,-0.2526315789473684,-0.2150375939849624,-0.0015037593984962405,-0.021052631578947364,-0.11127819548872178,0.05714285714285714,0.06917293233082707,0.4992481203007519,-0.05714285714285714
4_11,-0.20150375939849624,-0.2721804511278195,0.2796992481203007,-0.10075187969924812,-0.23609022556390977,0.29774436090225564,-0.20601503759398496,-0.44060150375939844,-0.2120300751879699,0.12180451127819547,0.07969924812030074,-0.10375939849624059,0.19248120300751878,-0.3218045112781954,-0.35187969924812035,-0.3082706766917293,-0.35488721804511275,0.43909774436090226,0.2421052631578947,0.2541353383458646,-0.19097744360902258,-0.1894736842105263,0.024060150375939848,0.15789473684210525,0.16240601503759397,0.0631578947368421,-0.17593984962406017,-0.2721804511278195,-0.14285714285714285,0.10676691729323308
4_12,0.21353383458646616,-0.05714285714285714,-0.14736842105263157,-0.07218045112781954,0.06466165413533834,-0.003007518796992481,0.04210526315789473,-0.14586466165413534,-0.04962406015037594,-0.22255639097744356,0.4030075187969925,-0.13984962406015036,-0.38195488721804516,0.1518796992481203,0.019548872180451125,-0.2796992481203007,-0.03609022556390977,0.4977443609022556,-0.22255639097744356,0.19248120300751878,0.5097744360902255,0.2120300751879699,0.3398496240601503,0.2721804511278195,-0.07368421052631578,-0.12932330827067667,-0.2827067669172932,0.2721804511278195,0.19248120300751878,0.28721804511278193
4_13,0.019548872180451125,0.03909774436090225,0.3233082706766917,0.05263157894736842,0.18796992481203004,0.07368421052631578,0.1533834586466165,-0.14285714285714285,0.13383458646616542,-0.15939849624060148,-0.33684210526315783,-0.10526315789473684,0.08120300751879699,-0.38796992481203,-0.1639097744360902,0.6075187969924812,0.013533834586466165,-0.41654135338345866,0.1819548872180451,-0.26315789473684204,0.10075187969924812,-0.23458646616541348,0.6075187969924812,0.051127819548872175,-0.03909774436090225,-0.13834586466165413,0.06917293233082707,0.09323308270676692,-0.1789473684210526,0.13383458646616542
4_14,-0.003007518796992481,-0.46917293233082696,-0.04060150375939849,-0.1639097744360902,-0.013533834586466165,0.21654135338345865,-0.2421052631578947,-0.3233082706766917,0.20150375939849624,-0.27669172932330827,0.003007518796992481,-0.3383458646616541,-0.35939849624060144,0.12030075187969923,-0.20751879699248119,-0.15939849624060148,0.07218045112781954,0.16691729323308271,-0.04060150375939849,0.3293233082706767,-0.12030075187969923,-0.2827067669172932,0.019548872180451125,0.6977443609022556,0.12781954887218044,-0.18796992481203004,0.3443609022556391,-0.013533834586466165,0.08872180451127819,0.26165413533834586
4_15,-0.12781954887218044,0.26766917293233083,0.21353383458646616,0.15037593984962402,-0.22105263157894736,-0.20150375939849624,-0.1969924812030075,0.0,0.16691729323308271,0.17142857142857143,0.2706766917293233,-0.21052631578947367,-0.08120300751879699,0.42556390977443603,0.20751879699248119,-0.025563909774436087,0.10225563909774435,-0.21052631578947367,0.2796992481203007,-0.06466165413533834,0.07669172932330826,-0.38646616541353385,-0.1789473684210526,0.27368421052631575,-0.17142857142857143,0.1819548872180451,0.26766917293233083,0.26165413533834586,0.58796992481203,-0.05563909774436089
4_16,-0.0781954887218045,0.09624060150375939,-0.15488721804511277,0.12932330827067667,-0.3082706766917293,0.2646616541353383,0.17593984962406017,-0.04360902255639097,0.037593984962406006,-0.1609022556390977,0.12330827067669171,-0.19849624060150375,-0.1789473684210526,0.35639097744360904,-0.03458646616541353,-0.04210526315789473,0.09022556390977443,-0.5157894736842105,-0.43458646616541347,-0.29323308270676685,-0.12781954887218044,0.1609022556390977,-0.09323308270676692,-0.06616541353383458,-0.5578947368421052,0.1894736842105263,-0.13533834586466165,0.31127819548872177,0.20902255639097742,-0.35037593984962395
4_17,-0.32631578947368417,-0.35037593984962395,0.23308270676691725,-0.19097744360902258,-0.02857142857142857,0.5338345864661653,0.35187969924812035,-0.4120300751879699,-0.0706766917293233,-0.08270676691729321,0.18646616541353384,-0.07518796992481201,-0.13984962406015036,-0.13984962406015036,-0.19248120300751878,-0.17142857142857143,-0.5413533834586466,-0.022556390977443608,0.11578947368421053,-0.021052631578947364,0.11278195488721804,-0.1894736842105263,-0.0706766917293233,-0.2706766917293233,-0.4270676691729323,-0.16992481203007515,-0.15037593984962402,0.29624060150375936,-0.012030075187969924,-0.30225563909774433
4_18,-0.18345864661654135,-0.16541353383458643,-0.04060150375939849,-0.048120300751879695,-0.193984962406015,0.13233082706766916,0.39097744360902253,0.13984962406015036,0.3037593984962406,0.23458646616541348,-0.09172932330827067,0.17744360902255638,-0.10827067669172932,-0.2526315789473684,-0.04360902255639097,0.3082706766917293,-0.04962406015037594,-0.10827067669172932,-0.3142857142857143,-0.47368421052631576,0.12030075187969923,0.05563909774436089,-0.08721804511278194,-0.10225563909774435,0.09624060150375939,0.22105263157894736,0.5278195488721804,-0.2045112781954887,0.007518796992481202,0.11428571428571428
4_19,-0.12932330827067667,-0.02706766917293233,-0.09473684210526315,0.02857142857142857,-0.32481203007518794,0.29323308270676685,-0.16541353383458643,-0.2827067669172932,0.03909774436090225,0.04962406015037594,0.4526315789473684,-0.29172932330827067,-0.1609022556390977,0.17293233082706763,-0.09774436090225563,0.15939849624060148,0.08120300751879699,-0.24511278195488717,0.07518796992481201,-0.016541353383458645,-0.09323308270676692,-0.2601503759398496,0.13082706766917293,0.07518796992481201,0.23308270676691725,-0.4992481203007519,0.5052631578947367,-0.14586466165413534,-0.1744360902255639,-0.009022556390977442
4_20,-0.006015037593984962,-0.2781954887218045,-0.060150375939849614,-0.431578947368421,-0.18796992481203004,-0.003007518796992481,0.021052631578947364,0.22556390977443608,-0.15037593984962402,0.1819548872180451,0.3157894736842105,-0.22255639097744356,0.15789473684210525,0.12932330827067667,0.12932330827067667,-0.13383458646616542,0.1639097744360902,-0.23759398496240602,-0.24962406015037594,0.022556390977443608,0.31879699248120297,-0.04360902255639097,-0.193984962406015,-0.15789473684210525,-0.23308270676691725,0.3142857142857143,0.15488721804511277,0.13684210526315788,0.10827067669172932,-0.07368421052631578
4_21,-0.09022556390977443,0.08721804511278194,-0.12932330827067667,-0.04360902255639097,-0.2120300751879699,-0.04060150375939849,0.04210526315789473,-0.11428571428571428,-0.29473684210526313,0.13684210526315788,0.11278195488721804,-0.2045112781954887,0.4195488721804511,-0.20902255639097742,-0.14736842105263157,0.11578947368421053,-0.12330827067669171,-0.037593984962406006,0.019548872180451125,-0.06466165413533834,0.22105263157894736,0.4060150375939849,0.4090225563909774,-0.16541353383458643,0.1639097744360902,-0.41654135338345866,-0.06165413533834586,-0.29172932330827067,0.0015037593984962405,-0.3383458646616541
4_22,-0.18345864661654135,-0.12481203007518797,-0.1609022556390977,-0.23909774436090225,0.24060150375939846,-0.06616541353383458,0.02857142857142857,-0.14285714285714285,0.26315789473684204,0.22105263157894736,-0.10375939849624059,0.1609022556390977,0.08421052631578946,-0.02857142857142857,0.13383458646616542,0.4616541353383458,0.19999999999999998,-0.04661654135338346,-0.04962406015037594,-0.5969924812030075,-0.05864661654135337,-0.19849624060150375,-0.10225563909774435,-0.7172932330827068,-0.1789473684210526,-0.10977443609022557,-0.15939849624060148,-0.08721804511278194,0.03909774436090225,0.009022556390977442
4_23,0.23308270676691725,0.11879699248120301,-0.10676691729323308,0.11729323308270674,0.31879699248120297,0.10526315789473684,0.4451127819548871,0.030075187969924807,0.1819548872180451,-0.019548872180451125,0.18496240601503755,0.37293233082706767,-0.4015037593984962,0.21353383458646616,0.22857142857142856,-0.05714285714285714,-0.13684210526315788,0.10827067669172932,0.20150375939849624,-0.019548872180451125,0.2421052631578947,-0.156390977443609,0.09624060150375939,-0.14887218045112782,-0.07669172932330826,-0.41503759398496237,0.015037593984962403,0.45563909774436084,-0.03157894736842105,-0.2300751879699248
4_24,-0.012030075187969924,0.03308270676691729,0.10977443609022557,-0.16992481203007515,-0.09172932330827067,-0.18496240601503755,-0.1609022556390977,0.28120300751879695,-0.3984962406015037,0.0015037593984962405,0.02706766917293233,0.06766917293233082,0.11879699248120301,-0.09624060150375939,0.4796992481203006,0.2270676691729323,-0.3714285714285714,0.2601503759398496,0.2601503759398496,-0.11578947368421053,0.34586466165413526,0.0631578947368421,0.07518796992481201,0.013533834586466165,-0.4601503759398496,0.38796992481203,0.22105263157894736,-0.22406015037593985,0.6015037593984961,-0.022556390977443608
4_25,0.29172932330827067,0.024060150375939848,0.06616541353383458,0.18646616541353384,0.5142857142857143,-0.21353383458646616,-0.04962406015037594,0.4977443609022556,-0.04661654135338346,-0.23308270676691725,-0.21954887218045113,0.4451127819548871,-0.19849624060150375,0.11729323308270674,0.23909774436090225,0.009022556390977442,-0.10676691729323308,0.42556390977443603,0.3533834586466165,0.1518796992481203,0.13533834586466165,0.12180451127819547,-0.156390977443609,0.14736842105263157,0.23909774436090225,-0.030075187969924807,0.3759398496240601,0.11278195488721804,0.23759398496240602,-0.003007518796992481
4_26,0.3383458646616541,-0.24511278195488717,-0.09924812030075188,-0.02857142857142857,-0.025563909774436087,0.13082706766917293,0.2646616541353383,0.2902255639097744,0.04060150375939849,-0.26165413533834586,0.10977443609022557,0.0015037593984962405,-0.0631578947368421,-0.1609022556390977,0.2045112781954887,0.015037593984962403,0.10225563909774435,-0.3789473684210526,0.10375939849624059,0.27669172932330827,-0.4481203007518797,-0.004511278195488721,0.045112781954887216,-0.26165413533834586,-0.38496240601503756,-0.10075187969924812,0.3082706766917293,-0.34285714285714286,-0.06766917293233082,0.16691729323308271
4_27,0.04360902255639097,-0.07969924812030074,0.08270676691729321,-0.19849624060150375,-0.1894736842105263,0.019548872180451125,0.030075187969924807,-0.24060150375939846,0.004511278195488721,0.4947368421052631,0.6466165413533834,-0.03609022556390977,0.1263157894736842,0.15037593984962402,0.04661654135338346,-0.23157894736842105,0.07368421052631578,0.27518796992481204,0.2827067669172932,-0.0706766917293233,0.3398496240601503,-0.3804511278195489,0.21052631578947367,-0.07518796992481201,0.07969924812030074,-0.1533834586466165,0.04210526315789473,0.16541353383458643,0.42105263157894735,-0.11127819548872178
4_28,-0.10225563909774435,-0.08721804511278194,0.25112781954887214,-0.021052631578947364,0.019548872180451125,0.28421052631578947,-0.14887218045112782,0.015037593984962403,-0.15037593984962402,-0.10676691729323308,-0.04962406015037594,0.38646616541353385,-0.24060150375939846,-0.21052631578947367,0.018045112781954885,0.28120300751879695,-0.19999999999999998,0.16691729323308271,0.048120300751879695,-0.04060150375939849,-0.23609022556390977,-0.3233082706766917,0.11278195488721804,-0.21654135338345865,-0.28421052631578947,0.41804511278195483,-0.20150375939849624,-0.06616541353383458,-0.20601503759398496,0.5022556390977443
4_29,0.28120300751879695,0.24962406015037594,0.3278195488721804,0.16240601503759397,0.20150375939849624,-0.42105263157894735,0.12030075187969923,0.18345864661654135,0.14887218045112782,0.025563909774436087,0.06766917293233082,-0.1639097744360902,0.3609022556390977,-0.10375939849624059,-0.009022556390977442,0.07518796992481201,0.20751879699248119,-0.012030075187969924,0.2601503759398496,-0.022556390977443608,0.3278195488721804,0.10676691729323308,0.42255639097744363,-0.21353383458646616,0.06165413533834586,0.10676691729323308,-0.23909774436090225,0.09323308270676692,-0.11879699248120301,0.22556390977443608
